CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.32958258008732094, T2: 0.40640738055526987, T3: 0.8545704604285616, FIT: 558998.7600336495, Tiempo de Poblacion: 16.013307809829712,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.3783080887748413, T2: 2.1376650891815694, T3: 2.0978713981419377, FIT: 547826.3695999609, Tiempo de Poblacion: 5.581576824188232,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.6528636706435416, T2: 2.4215651134816567, T3: 2.121945066812353, FIT: 539016.1695874698, Tiempo de Poblacion: 5.509972810745239,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.4613251222873322, T2: 0.962920717655072, T3: 0.7117135621272581, FIT: 544701.7289768764, Tiempo de Poblacion: 5.348817586898804,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.38503930480897874, T2: 2.3725733596663257, T3: 0.8855119482208542, FIT: 534202.5577009146, Tiempo de Poblacion: 5.401592016220093,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.5367970146152126, T2: 1.7935443081062499, T3: 0.9369267350340789, FIT: 532855.5177705089, Tiempo de Poblacion: 5.348206281661987,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.677223160016145, T2: 0.7600076758768983, T3: 1.0605897165166849, FIT: 533356.9072908295, Tiempo de Poblacion: 5.337510585784912,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.09794562421463801, T2: 1.1153496770517812, T3: 0.17684107260206305, FIT: 556817.9110362424, Tiempo de Poblacion: 5.156940221786499,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.2386190289820012, T2: 0.4430709614815294, T3: 0.595217920834647, FIT: 562850.4109458177, Tiempo de Poblacion: 5.506964445114136,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.0252895603304615, T2: 1.5416247028396117, T3: 2.383942290041137, FIT: 536987.3920912184, Tiempo de Poblacion: 5.499898433685303,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.5367970146152126, T2:1.7935443081062499, T3:0.9369267350340789, FIT:532855.5177705089, Tiempo de iteracion: 35.235368490219116,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.664917616882936, T2:0.7661377644719953, T3:1.0576210258856567, FIT:528218.039281383, Tiempo de iteracion: 27.935723781585693,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.664917616882936, T2:0.7661377644719953, T3:1.0576210258856567, FIT:528218.039281383, Tiempo de iteracion: 28.538774490356445,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.664917616882936, T2:0.7661377644719953, T3:1.0576210258856567, FIT:528218.039281383, Tiempo de iteracion: 28.150975465774536,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.664917616882936, T2:0.7661377644719953, T3:1.0576210258856567, FIT:528218.039281383, Tiempo de iteracion: 28.1290066242218,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.664917616882936, T2:0.7661377644719953, T3:1.0576210258856567, FIT:528218.039281383, Tiempo de iteracion: 28.506688117980957,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.664917616882936, T2:0.7661377644719953, T3:1.0576210258856567, FIT:528218.039281383, Tiempo de iteracion: 28.625957012176514,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.664917616882936, T2:0.7661377644719953, T3:1.0576210258856567, FIT:528218.039281383, Tiempo de iteracion: 28.119619131088257,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.664917616882936, T2:0.7661377644719953, T3:1.0576210258856567, FIT:528218.039281383, Tiempo de iteracion: 28.057462692260742,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.8587231336936494, T2:0.7728644572542357, T3:1.068714904688007, FIT:527340.9921630597, Tiempo de iteracion: 27.984068155288696,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.8587231336936494, T2:0.7728644572542357, T3:1.068714904688007, FIT:527340.9921630597, Tiempo de iteracion: 29.36493945121765,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.8587231336936494, T2:0.7728644572542357, T3:1.068714904688007, FIT:527340.9921630597, Tiempo de iteracion: 29.662153244018555,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.8587231336936494, T2:0.7728644572542357, T3:1.068714904688007, FIT:527340.9921630597, Tiempo de iteracion: 33.909950256347656,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.8587231336936494, T2:0.7728644572542357, T3:1.068714904688007, FIT:527340.9921630597, Tiempo de iteracion: 33.653783082962036,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.8587231336936494, T2:0.7728644572542357, T3:1.068714904688007, FIT:527340.9921630597, Tiempo de iteracion: 33.73417043685913,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.8587231336936494, T2:0.7728644572542357, T3:1.068714904688007, FIT:527340.9921630597, Tiempo de iteracion: 34.04695272445679,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.8587231336936494, T2:0.7728644572542357, T3:1.068714904688007, FIT:527340.9921630597, Tiempo de iteracion: 34.49251580238342,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.8587231336936494, T2:0.7728644572542357, T3:1.068714904688007, FIT:527340.9921630597, Tiempo de iteracion: 34.07422113418579,
