CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.0676437571149833, T2: 0.8183153571583666, T3: 0.14629909618959375, FIT: 557737.8593855001, Tiempo de Poblacion: 15.02417540550232,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.4532116930235721, T2: 0.757230261957379, T3: 2.6147511058373416, FIT: 533044.7936177464, Tiempo de Poblacion: 5.216736078262329,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.0195552163502424, T2: 2.3989346191562286, T3: 0.5818536807071467, FIT: 543033.451805509, Tiempo de Poblacion: 5.100168466567993,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.8526237729149262, T2: 1.354531384466604, T3: 2.9139414869957116, FIT: 541063.7045169718, Tiempo de Poblacion: 5.131213903427124,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.6062197320407892, T2: 1.6090380753122873, T3: 1.5814050122880488, FIT: 534675.4931339961, Tiempo de Poblacion: 5.164666175842285,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.9857100789756958, T2: 2.363874936484807, T3: 0.19829922770938374, FIT: 549292.5730155583, Tiempo de Poblacion: 4.883366107940674,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.2509648542749154, T2: 2.5347896238378667, T3: 0.6856290032304927, FIT: 536489.2230109094, Tiempo de Poblacion: 5.246736526489258,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.30421595549447283, T2: 2.1443808059496554, T3: 0.4762396563467167, FIT: 543854.4427869943, Tiempo de Poblacion: 5.194819688796997,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.07772086634863457, T2: 1.631505362159798, T3: 2.432867506519465, FIT: 536226.8053347551, Tiempo de Poblacion: 5.130587577819824,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.465426361707206, T2: 1.2037744829417896, T3: 1.4946758771319226, FIT: 540247.0157953758, Tiempo de Poblacion: 5.042212247848511,
ITERACION:,9,P1,2.0,P2,1.0,P3,3.0,T1:1.4532116930235721, T2:0.757230261957379, T3:2.6147511058373416, FIT:533044.7936177464, Tiempo de iteracion: 33.142324924468994,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.5906702259731793, T2:1.6288739640432088, T3:1.9233537934362142, FIT:532047.3867973544, Tiempo de iteracion: 34.16541504859924,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.18136024475098,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.299763202667236,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.46967029571533,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 33.761114835739136,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.03367853164673,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.25312948226929,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.59004187583923,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 33.79574370384216,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.1367552280426,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.25037741661072,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.138761043548584,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.187788248062134,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.32403516769409,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.15149474143982,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.358195304870605,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 34.620630741119385,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 33.22023892402649,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 33.003100872039795,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 32.87005066871643,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.6092394559601326, T2:1.6207764698899725, T3:1.9167518841120752, FIT:531255.3616208731, Tiempo de iteracion: 33.17293047904968,
