CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.991209914956786, T2: 1.5034738512816754, T3: 2.550703954196441, FIT: 534455.3422160129, Tiempo de Poblacion: 16.334348440170288,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.26749767542528, T2: 0.292717142940599, T3: 2.005642836922621, FIT: 534630.9275271288, Tiempo de Poblacion: 5.9680750370025635,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.6435152570616455, T2: 0.8648684759747204, T3: 0.2928164396171021, FIT: 557934.2168834077, Tiempo de Poblacion: 5.82886004447937,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.306918717544132, T2: 2.3531898094342827, T3: 1.227090931205358, FIT: 538254.0292146037, Tiempo de Poblacion: 5.939429759979248,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.0400469461447313, T2: 0.16496123018957412, T3: 2.0939869554024035, FIT: 530448.4438838726, Tiempo de Poblacion: 5.831414222717285,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 2.0, P2: 1.0, P3: 3.0, T1: 0.5867456555247401, T2: 2.4174588078656107, T3: 1.5216723221707729, FIT: 534744.9783217722, Tiempo de Poblacion: 5.9184534549713135,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.9013573666422408, T2: 2.3272815625058936, T3: 0.16088677291140657, FIT: 540168.3708334515, Tiempo de Poblacion: 5.928235054016113,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.2815107501476437, T2: 0.4858441857512383, T3: 2.449807023781378, FIT: 538402.2873687097, Tiempo de Poblacion: 5.833445310592651,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.4074486174324727, T2: 1.719885837639568, T3: 1.6959279062466013, FIT: 533509.7959633725, Tiempo de Poblacion: 5.943216562271118,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 2.6540873152181175, T2: 1.9528362547440534, T3: 2.5748897465586897, FIT: 553510.4083819555, Tiempo de Poblacion: 6.024214506149292,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.0400469461447313, T2:0.16496123018957412, T3:2.0939869554024035, FIT:530448.4438838726, Tiempo de iteracion: 38.096832275390625,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.264006006926406, T2:0.29172800671426613, T3:2.018373530642052, FIT:529666.6326503371, Tiempo de iteracion: 36.82567834854126,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.264006006926406, T2:0.29172800671426613, T3:2.018373530642052, FIT:529666.6326503371, Tiempo de iteracion: 37.01520586013794,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 36.87470006942749,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 36.87322115898132,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 37.722753286361694,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 37.19526433944702,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 37.3374981880188,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 37.932700634002686,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 37.16021704673767,
ITERACION:,9,P1,1,P2,2,P3,3,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 37.70321202278137,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 38.23939776420593,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 35.9955677986145,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 30.414360523223877,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 32.528948068618774,
ITERACION:,9,P1,1,P2,3,P3,2,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 32.52074432373047,
ITERACION:,9,P1,2,P2,1,P3,3,T1:0.9664152715256081, T2:1.4733070536778277, T3:2.5170704777799005, FIT:529603.5009984921, Tiempo de iteracion: 32.80940532684326,
