CALCULO POBLACIoN:,0,ITERACION: 0, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.7807006978707051, T2: 0.5217463936507702, T3: 0.39236355174546045, FIT: 559583.9961609362, Tiempo de Poblacion: 16.091631174087524,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.837670318037338, T2: 0.6650753589592019, T3: 1.2613233952232983, FIT: 534915.1393772834, Tiempo de Poblacion: 5.336027383804321,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.8416260584371895, T2: 0.2060001020483193, T3: 0.8093850104245984, FIT: 543073.0333513108, Tiempo de Poblacion: 5.149900674819946,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.6425395244185967, T2: 0.5626192829210173, T3: 1.4801224560732245, FIT: 539436.3346892995, Tiempo de Poblacion: 5.382600784301758,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.6334835920612734, T2: 2.338330262284037, T3: 0.49626835546558434, FIT: 539378.7015943768, Tiempo de Poblacion: 5.323105812072754,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.12866322114648696, T2: 1.6620520082479617, T3: 1.520378189173712, FIT: 539008.4887876823, Tiempo de Poblacion: 5.323317289352417,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.8390183107126314, T2: 0.9137696541268845, T3: 2.5428121501194942, FIT: 540731.7618573125, Tiempo de Poblacion: 5.524176120758057,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 2.0, P3: 3.0, T1: 0.769311020387905, T2: 1.8764823873841707, T3: 1.2401995535656236, FIT: 539632.7388661874, Tiempo de Poblacion: 5.493762731552124,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.545449375237405, T2: 2.0517284495126065, T3: 2.543393262830401, FIT: 549314.1917099751, Tiempo de Poblacion: 5.254864931106567,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.4895840000957647, T2: 2.4114533302515446, T3: 2.635857090754889, FIT: 545686.0397354811, Tiempo de Poblacion: 5.297598600387573,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.837670318037338, T2:0.6650753589592019, T3:1.2613233952232983, FIT:534915.1393772834, Tiempo de iteracion: 35.006783962249756,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 32.26078748703003,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 23.76259469985962,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 23.96520495414734,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 23.811310052871704,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 23.643088817596436,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 24.057996034622192,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 23.42695164680481,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 24.001838207244873,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 23.807479858398438,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 24.247040510177612,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 24.09617280960083,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 23.56802225112915,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 23.950977563858032,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 23.70199227333069,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 23.56841254234314,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 24.12445092201233,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 25.161118268966675,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.948799306656769, T2:0.8625880159213857, T3:1.240289734654689, FIT:527630.0933010132, Tiempo de iteracion: 26.65949273109436,
