CALCULO POBLACIoN:,0,ITERACION: 0, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.2904274644428693, T2: 0.18101821592582634, T3: 1.3518919192487195, FIT: 531198.144577011, Tiempo de Poblacion: 14.584301471710205,
CALCULO POBLACIoN:,1,ITERACION: 1, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.2019913637980038, T2: 2.1528478994387723, T3: 1.8239609766154479, FIT: 540853.708685955, Tiempo de Poblacion: 4.980206251144409,
CALCULO POBLACIoN:,2,ITERACION: 2, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.8968358458913628, T2: 2.397677494415936, T3: 0.6070791603909746, FIT: 530030.1757153065, Tiempo de Poblacion: 4.908241510391235,
CALCULO POBLACIoN:,3,ITERACION: 3, P1: 1.0, P2: 2.0, P3: 3.0, T1: 2.6137672676853656, T2: 0.33077789721734796, T3: 1.0784324493618047, FIT: 536590.5707348118, Tiempo de Poblacion: 4.773854970932007,
CALCULO POBLACIoN:,4,ITERACION: 4, P1: 2.0, P2: 1.0, P3: 3.0, T1: 1.5884928613747573, T2: 1.499491769896644, T3: 1.2949587771088424, FIT: 534726.7036138684, Tiempo de Poblacion: 4.934268951416016,
CALCULO POBLACIoN:,5,ITERACION: 5, P1: 1.0, P2: 2.0, P3: 3.0, T1: 1.2931747832179303, T2: 0.2982014060363671, T3: 1.7526734984211982, FIT: 543036.0272612442, Tiempo de Poblacion: 4.8749589920043945,
CALCULO POBLACIoN:,6,ITERACION: 6, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.6406708765616929, T2: 0.8040242423074132, T3: 1.716280872455175, FIT: 535075.7249690235, Tiempo de Poblacion: 5.054430961608887,
CALCULO POBLACIoN:,7,ITERACION: 7, P1: 1.0, P2: 3.0, P3: 2.0, T1: 1.5224107326343856, T2: 1.389854785924768, T3: 1.9737133112379657, FIT: 530304.9993099752, Tiempo de Poblacion: 4.98903489112854,
CALCULO POBLACIoN:,8,ITERACION: 8, P1: 1.0, P2: 3.0, P3: 2.0, T1: 0.6064382165181448, T2: 0.7675172697239313, T3: 1.3005101717058758, FIT: 547493.769002301, Tiempo de Poblacion: 5.060810804367065,
CALCULO POBLACIoN:,9,ITERACION: 9, P1: 2.0, P2: 1.0, P3: 3.0, T1: 2.5689097234754916, T2: 1.6320829208744032, T3: 1.267340415570023, FIT: 532548.274898398, Tiempo de Poblacion: 4.991909742355347,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.8968358458913628, T2:2.397677494415936, T3:0.6070791603909746, FIT:530030.1757153065, Tiempo de iteracion: 30.641754627227783,
ITERACION:,9,P1,1,P2,2,P3,3,T1:1.8434235891799244, T2:2.35905463023608, T3:0.6243309424331798, FIT:529233.4451816805, Tiempo de iteracion: 31.892921447753906,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.8434235891799244, T2:2.35905463023608, T3:0.6243309424331798, FIT:529233.4451816805, Tiempo de iteracion: 32.02459144592285,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.8434235891799244, T2:2.35905463023608, T3:0.6243309424331798, FIT:529233.4451816805, Tiempo de iteracion: 32.16610312461853,
ITERACION:,9,P1,1,P2,3,P3,2,T1:1.8434235891799244, T2:2.35905463023608, T3:0.6243309424331798, FIT:529233.4451816805, Tiempo de iteracion: 31.846998929977417,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.8434235891799244, T2:2.35905463023608, T3:0.6243309424331798, FIT:529233.4451816805, Tiempo de iteracion: 32.41460061073303,
ITERACION:,9,P1,2,P2,1,P3,3,T1:1.8434235891799244, T2:2.35905463023608, T3:0.6243309424331798, FIT:529233.4451816805, Tiempo de iteracion: 31.904828310012817,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.7830605615631283, T2:0.31594426392784214, T3:1.1051190764574277, FIT:528269.7282335097, Tiempo de iteracion: 32.4437940120697,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.7830605615631283, T2:0.31594426392784214, T3:1.1051190764574277, FIT:528269.7282335097, Tiempo de iteracion: 31.784278392791748,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.7830605615631283, T2:0.31594426392784214, T3:1.1051190764574277, FIT:528269.7282335097, Tiempo de iteracion: 31.95586133003235,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.7830605615631283, T2:0.31594426392784214, T3:1.1051190764574277, FIT:528269.7282335097, Tiempo de iteracion: 31.857898712158203,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.7830605615631283, T2:0.31594426392784214, T3:1.1051190764574277, FIT:528269.7282335097, Tiempo de iteracion: 31.71098232269287,
ITERACION:,9,P1,2,P2,1,P3,3,T1:2.7830605615631283, T2:0.31594426392784214, T3:1.1051190764574277, FIT:528269.7282335097, Tiempo de iteracion: 31.554487705230713,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.7830605615631283, T2:0.31594426392784214, T3:1.1051190764574277, FIT:528269.7282335097, Tiempo de iteracion: 31.984000205993652,
ITERACION:,9,P1,1,P2,3,P3,2,T1:2.3005796854690335, T2:1.0630250714216627, T3:1.5606847665421597, FIT:528188.4376418869, Tiempo de iteracion: 31.745373010635376,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.3005796854690335, T2:1.0630250714216627, T3:1.5606847665421597, FIT:528188.4376418869, Tiempo de iteracion: 32.14353895187378,
ITERACION:,9,P1,1,P2,2,P3,3,T1:2.3005796854690335, T2:1.0630250714216627, T3:1.5606847665421597, FIT:528188.4376418869, Tiempo de iteracion: 31.905134439468384,
